barcode,price,active,quantity
113158,39.07166667,0,0
107457,95,0,-3
109803,3.2,1,114
8886950011325,610,0,0
8886950011516,610,0,0
8886950011066,580,1,7
8886950015224,50,1,20
8886950011073,1110,1,4
8886950015200,10,1,9
8886950011455,1599,0,0
8886950011981,20,0,0
8886950011318,302,0,0
8886950011141,290,1,15
107373,60,0,0
107792,150,0,2
117974,330,0,-3
8964001291336,30,1,5
119078,750,0,3
119100,450,1,7
105992,101.69,0,3
117397,12.29166667,0,-23
107758,129.12,1,4
107795,118.08,1,6
115460,4.25,0,-74
113188,2.724,0,-2
108935,4.527777778,0,-1
108124,5.65,0,0
104665,550,0,1
117005,5,1,579
9200508001665,200,1,10
10001,320,0,0
10002,530,1,6
10004,700,0,1
10006,880,0,0
8801073411395,1750,0,2
8801073114548,555,1,19
8801073411388,1750,0,1
8801073115088,555,1,8
8801073114814,555,0,1
8961008237336,40,1,5
8964001166412,150,0,0
8961008218694,230,0,2
8961008218687,40,1,11
103742,550,0,0
104281,1110,0,0
104615,1699,0,0
8961008223407,1659,0,0
8961008221977,1699,0,0
116601,10,1,582
119002,160,0,2
112779,12.5,1,150
112306,21.33333333,0,-2
9200508008428,150,0,2
8961103503077,30,1,19
8961103500809,70,0,0
8964003916435,1050,1,7
8964003916664,1400,0,1
8964003018412,200,1,14
8964003018399,200,1,8
116754,10,0,0
8964002758784,40,1,16
8964002526833,30,0,0
8964002526857,20,1,99
8961103501875,125,0,-2
107352,36,0,0
745604647847,320,0,-1
8964003916428,1000,0,3
8964003018375,655,0,2
8964000043455,450,1,6
8964000043189,230,1,9
8964003018108,35,1,60
8964003018658,230,1,5
8964003916053,120,0,3
8964003916060,120,1,7
8964000043660,650,0,3
8964000043707,1030,0,0
8964000043615,340,1,4
8964000043813,340,1,4
8964003018634,230,1,5
8964000043653,650,1,5
8964000043738,1030,0,0
8964000043608,340,1,7
8964003916077,450,1,7
8964000043226,290,0,2
8964000043271,290,1,15
8964000043288,390,1,4
8964000043233,350,1,5
8964003018436,210,0,1
8964000043806,320,0,-1
102471,450,0,3
102266,350,1,4
102156,320,0,3
116169,350,0,2
102157,320,1,8
8964000043844,450,0,1
101627,200,0,3
8964003018115,350,0,1
8964003018122,350,1,9
101874,230,0,1
103455,230,1,5
8964000043424,880,0,2
8961103501301,75,1,4
8961102505034,30,1,44
111946,19.00033333,1,56
8964000330104,70,0,0
108408,12.85714286,0,0
111621,29.12642857,1,28
108262,14.6,0,0
109670,24.33428571,1,14
111452,31.92,0,0
108230,13.90928571,1,7
109903,23.18142857,1,14
104102,90,0,0
4457132488101,550,1,4
111442,600,0,2
111441,600,1,8
9200222620814,600,1,5
110929,444,0,0
109290,300,1,4
109275,330,0,0
109276,330,0,2
109277,330,0,-2
8961003614910,40,1,12
8961003612848,50,0,-32
7622201721060,220,1,4
7622202319686,100,1,5
7622202369261,100,1,113
8961003616730,20,0,-15
7622202318917,1700,0,0
7622202318269,500,0,0
8964002444441,10,0,3
8964002444458,20,0,1
109939,18.557,1,126
8961103503374,20,1,53
8964003592363,20,0,-113
8964003590598,25,0,-2
8964003592349,20,1,37
8964003590536,25,0,-28
8964003590574,25,0,-10
8964003594084,30,0,0
8964003592387,20,0,-4
8964003590550,25,0,0
8964003592325,20,0,-34
8964003592004,50,0,-11
8964001291329,30,0,3
8964001291404,30,1,6
108507,176.04,0,0
111800,32.58333333,0,-15
109561,49.11166667,1,15
108482,29.79666667,1,15
110851,25.16666667,0,0
108840,38.81166667,0,-1
108314,3.6384,0,0
109412,5.2988,0,0
109273,52,0,0
112926,29.55,1,30
107991,20,1,18
108992,30,0,-21
106963,42.87333333,1,60
107863,220,1,5
112576,22.02666667,1,50
113531,37.76,1,50
107688,110.32,1,5
107805,119.39,1,4
112072,3.52435,1,433
112470,2.425,1,301
4260033152763,130,0,1
103093,460,0,0
8964003083700,1750,0,3
8964003083632,2730,0,3
8964003083403,550,0,0
8964003083649,2750,0,2
8964000788004,399,0,1
8964003083724,1550,0,2
8964003083731,1550,0,1
8964000788059,420,1,6
8964003083748,1550,0,1
8964000788042,400,0,-1
8964000788035,420,0,0
8964000788028,420,0,3
8964000788011,400,0,3
8690742100735,1699,0,1
8690742100865,1730,0,0
8690742100704,1775,0,0
8690742100728,1840,0,2
8964003083694,2730,0,0
8690742100742,1690,0,1
8690742100940,1599,0,0
8964003083281,2730,0,0
8964003083274,2729,0,0
8964003083205,2650,0,2
8964003083267,2730,0,1
8964003083199,2795,0,0
8964003083182,2730,0,0
8964003083175,2730,0,3
8690742150747,2550,0,3
8964003083168,3700,0,-4
8964003083151,3699,1,4
8964003083137,3700,0,1
8964003083717,1550,1,4
8964000788806,2350,0,0
8964000788783,1960,0,0
8964003083328,3560,0,0
8964000788868,3425,0,0
8964003083311,3700,0,0
8964000788851,3425,0,0
8690742400347,560,0,0
897210061002,170,0,-27
9747427967363,11.6,0,-49
4567622318587,680,0,0
3947643272210,430,1,4
8961003674228,10,0,1
8961003657016,30,0,0
8961003674341,20,1,27
8961003020315,40,1,18
8961103501134,50,1,7
8961103501431,50,0,-1
8961102504822,10,0,-4
8961103501066,50,1,25
8961103501110,50,1,4
117556,299,0,0
6952841909216,199,0,0
6957484638592,280,0,0
973697035724,50,0,3
8961102503443,87,0,0
8961102504150,50,0,-1
8961102503504,87,0,0
8964002488636,10,0,-550
8961103500991,50,1,46
8961103501691,50,1,29
8961102504495,150,0,0
8961103500106,30,0,0
106079,152,0,-2
106135,185.9,0,3
106373,305.88,1,4
108323,175,0,3
108334,175,0,3
106107,204.01,0,1
107639,180,1,7
107640,110,0,-1
108184,110,0,-4
108129,110,0,-3
108727,153,0,-1
115318,180,1,8
118239,200,1,11
31001,160,1,23
116067,2025,0,-1
116068,1825,0,0
116069,1710,0,3
116076,1610,0,0
116077,1710,0,-1
100436,1915,0,0
116066,1915,0,2
116065,1915,0,0
100437,1915,0,0
110082,19.3595,1,18
112335,40.5915,1,18
721688434467,470,0,0
8961100023707,290,0,1
8961100023745,290,0,1
8961100023622,290,0,0
104215,200,1,11
116058,450,0,-1
796554907888,100,0,0
796554907895,100,0,0
8961100022090,100,0,-3
8961100023165,340,0,0
8961100023158,340,0,0
8961100023172,340,0,0
8961100023141,355,0,0
8961100023257,355,0,0
8961100023134,355,0,0
8961100022564,140,0,-3
8961100022557,140,0,-2
8961100022571,140,0,-8
8961100022540,140,1,6
8961100022991,140,0,-1
8961100022533,140,0,3
8961100023417,435,0,0
8961100023424,450,0,0
102530,435,0,0
8961100023400,450,0,0
8961100023394,450,0,0
102532,450,0,0
116063,170,0,2
116061,170,0,-1
116060,160,0,2
8961100022922,160,0,0
116062,170,0,2
116059,170,0,2
89600078,270,1,21
95010670,220,1,16
113350,36.66666667,1,30
113911,56.43333333,1,16
8964000031025,150,1,9
107919,6.5025,1,40
107447,3.0625,1,60
112317,6.0509,1,140
113326,9.8804,0,0
109558,10.03333333,0,0
744343546794,220,0,-1
112940,39.815,0,0
113892,78.4675,1,40
721688013006,350,1,6
117583,2570,0,1
6009679062443,400,0,0
5940028004879,5500,0,1
111670,99,0,3
109768,305,0,2
110338,370,0,2
112213,55.997,0,0
108604,21.1,1,20
109927,30.6,1,20
107855,11.129,1,20
109639,9.333333333,1,20
8964001358015,220,0,3
114307,80,0,0
117732,140,0,0
8964000499214,430,1,4
8964000499177,250,0,0
8964000499160,470,1,4
102713,110,0,-1
114768,50,0,-2
112617,23.834,1,240
110805,39,1,50
108320,16.555,0,0
110281,17.1,0,0
119288,190,0,3
113513,85.5,1,5
108907,19.9,0,1
8411713102684,120,1,18
105131,685,0,0
105235,920,0,0
111630,108,0,0
109835,285,0,3
110550,349.14,1,4
111642,98,0,1
105646,240,0,1
111105,400,0,0
112776,670,0,0
105411,155,0,2
110673,34,0,0
111777,113.088,1,15
109849,314.83,1,4
110343,373,0,2
112005,57.3,0,2
112199,60.22,0,2
111479,102,0,3
109086,332,0,2
110292,394.39,0,1
112658,146,0,-10
110762,397,0,2
111499,500.91,0,0
117683,3.04,1,163
118823,195,0,1
110797,25,0,-30
112455,37.236,1,124
118346,200,1,6
CELEMIN,200,1,4
108762,19.6,0,0
114639,156,0,0
112237,1000,0,1
102736,60,0,-2
117553,120,0,-1
110529,12.05,0,0
8961008235066,60,1,42
8961008237213,275,0,0
8961008235721,499,0,3
103980,880,0,3
8961008235134,619,0,-1
8961008236766,560,0,2
8961008236742,575,0,1
8961008235202,630,0,1
8961008235110,1240,0,0
8961008235103,750,0,1
111983,730,0,0
102889,629,0,0
103728,1249,0,0
103854,750,0,2
103806,515,0,0
8961008235172,1240,0,0
8961008221526,1260,0,0
8961008220468,460,1,5
8961008235233,495,0,1
104336,870,0,2
113748,70,1,30
7473800705001,750,0,0
744343546961,50,0,0
8964002487356,19.83,0,0
101225,11,0,-1
103271,220,0,0
788821022424,90,0,-1
119082,50,1,75
671866277648,20,0,-2
671866277631,20,0,-75
8964002347056,20,0,1
8964000102817,20,1,12
100348,30,0,-19
8964002346318,30,0,-31
8964002346332,40,0,0
116186,50,0,-1
116185,50,0,0
116184,50,0,0
116183,50,0,0
8964002346349,60,0,0
8964002347506,100,1,9
8964002346707,50,0,2
8964002347315,30,0,-8
8964002347414,50,1,11
8964002346837,30,1,36
8964000424889,20,0,-242
6001106309732,195,0,0
6001106309749,195,0,2
6001106309756,405,0,0
6001106309763,360,0,0
117555,850,0,0
108571,273.43,0,1
62980931385,350,0,1
116026,10,0,0
870572004818,10,0,0
8961102505065,20,0,0
8961103502971,50,1,83
119080,850,0,2
744343546336,150,0,0
119444,350,0,1
119074,350,0,1
119073,300,0,2
671866277945,20,0,-9
8961102508400,200,0,-1
8961102505485,30,0,-96
8964003378929,30,0,0
8964002444250,10,1,25
